,DATE_TIME,PLANT_ID,SOURCE_KEY,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,plant
0,2020-05-15 00:00:00,4135001,HmiyD2TTLFNqkNe,25.18431613333333,22.8575074,0.0,P_1
1,2020-05-15 00:15:00,4135001,HmiyD2TTLFNqkNe,25.08458866666667,22.761667866666667,0.0,P_1
2,2020-05-15 00:30:00,4135001,HmiyD2TTLFNqkNe,24.935752600000004,22.59230553333333,0.0,P_1
3,2020-05-15 00:45:00,4135001,HmiyD2TTLFNqkNe,24.846130399999996,22.36085213333333,0.0,P_1
4,2020-05-15 01:00:00,4135001,HmiyD2TTLFNqkNe,24.621525357142854,22.165422642857145,0.0,P_1
5,2020-05-15 01:15:00,4135001,HmiyD2TTLFNqkNe,24.5360922,21.96857086666667,0.0,P_1
6,2020-05-15 01:30:00,4135001,HmiyD2TTLFNqkNe,24.638673866666664,22.35292566666667,0.0,P_1
7,2020-05-15 01:45:00,4135001,HmiyD2TTLFNqkNe,24.87302233333333,23.1609192,0.0,P_1
8,2020-05-15 02:00:00,4135001,HmiyD2TTLFNqkNe,24.936930466666666,23.026113,0.0,P_1
9,2020-05-15 02:15:00,4135001,HmiyD2TTLFNqkNe,25.0122476,23.343229266666665,0.0,P_1
10,2020-05-15 02:30:00,4135001,HmiyD2TTLFNqkNe,25.005149333333332,23.639459266666666,0.0,P_1
11,2020-05-15 02:45:00,4135001,HmiyD2TTLFNqkNe,24.99301953333333,24.0394858,0.0,P_1
12,2020-05-15 03:00:00,4135001,HmiyD2TTLFNqkNe,25.016309428571425,24.38413557142857,0.0,P_1
13,2020-05-15 03:15:00,4135001,HmiyD2TTLFNqkNe,24.985215266666664,24.35150773333333,0.0,P_1
14,2020-05-15 03:30:00,4135001,HmiyD2TTLFNqkNe,24.937731933333332,24.060296533333336,0.0,P_1
15,2020-05-15 03:45:00,4135001,HmiyD2TTLFNqkNe,24.87909953333333,23.709794133333336,0.0,P_1
16,2020-05-15 04:00:00,4135001,HmiyD2TTLFNqkNe,24.6789022,22.58994153333333,0.0,P_1
17,2020-05-15 04:15:00,4135001,HmiyD2TTLFNqkNe,24.3519308,21.78364253333333,0.0,P_1
18,2020-05-15 04:30:00,4135001,HmiyD2TTLFNqkNe,24.062622199999996,21.85252493333333,0.0,P_1
